channel,center_mhz,bw_mhz,offset_mhz,path_loss_db,noise_dbm,allowed_eirp_dbm,allowed_psd_dBm_per_MHz,decision
-3,5935.0,20,90,128.94,-96.99,23.94,10.93,grant
1,5955.0,20,70,128.96,-96.99,23.96,10.95,grant
5,5975.0,20,50,128.99,-96.99,23.99,10.98,grant
9,5995.0,20,30,129.02,-96.99,24.02,11.01,grant
13,6015.0,20,10,129.05,-96.99,24.05,11.04,grant
17,6035.0,20,10,129.08,-96.99,24.08,11.07,grant
21,6055.0,20,30,129.11,-96.99,24.11,11.10,grant
25,6075.0,20,50,129.14,-96.99,24.14,11.13,grant
29,6095.0,20,70,129.17,-96.99,24.17,11.16,grant
33,6115.0,20,90,129.20,-96.99,24.20,11.18,grant
37,6135.0,20,110,129.22,-96.99,24.22,11.21,grant
41,6155.0,20,130,129.25,-96.99,24.25,11.24,grant
45,6175.0,20,150,129.28,-96.99,24.28,11.27,grant
49,6195.0,20,170,129.31,-96.99,24.31,11.30,grant
53,6215.0,20,190,129.34,-96.99,24.34,11.33,grant
57,6235.0,20,210,129.36,-96.99,24.36,11.35,grant
61,6255.0,20,230,129.39,-96.99,24.39,11.38,grant
65,6275.0,20,250,129.42,-96.99,24.42,11.41,grant
69,6295.0,20,270,129.45,-96.99,24.45,11.44,grant
73,6315.0,20,290,129.47,-96.99,24.47,11.46,grant
77,6335.0,20,310,129.50,-96.99,24.50,11.49,grant
81,6355.0,20,330,129.53,-96.99,24.53,11.52,grant
85,6375.0,20,350,129.56,-96.99,24.56,11.55,grant
89,6395.0,20,370,129.58,-96.99,24.58,11.57,grant
93,6415.0,20,390,129.61,-96.99,24.61,11.60,grant
1,5955.0,40,70,128.96,-96.99,23.96,7.94,grant
9,5995.0,40,30,129.02,-96.99,24.02,8.00,grant
17,6035.0,40,10,129.08,-96.99,24.08,8.06,grant
25,6075.0,40,50,129.14,-96.99,24.14,8.12,grant
33,6115.0,40,90,129.20,-96.99,24.20,8.17,grant
41,6155.0,40,130,129.25,-96.99,24.25,8.23,grant
49,6195.0,40,170,129.31,-96.99,24.31,8.29,grant
57,6235.0,40,210,129.36,-96.99,24.36,8.34,grant
65,6275.0,40,250,129.42,-96.99,24.42,8.40,grant
73,6315.0,40,290,129.47,-96.99,24.47,8.45,grant
81,6355.0,40,330,129.53,-96.99,24.53,8.51,grant
89,6395.0,40,370,129.58,-96.99,24.58,8.56,grant
17,6035.0,80,10,129.08,-96.99,24.08,5.05,grant
33,6115.0,80,90,129.20,-96.99,24.20,5.16,grant
49,6195.0,80,170,129.31,-96.99,24.31,5.28,grant
65,6275.0,80,250,129.42,-96.99,24.42,5.39,grant
81,6355.0,80,330,129.53,-96.99,24.53,5.50,grant
33,6115.0,160,90,129.20,-96.99,24.20,2.15,grant
65,6275.0,160,250,129.42,-96.99,24.42,2.38,grant
