channel,center_mhz,bw_mhz,offset_mhz,path_loss_db,noise_dbm,allowed_eirp_dbm,allowed_psd_dBm_per_MHz,decision
-3,5935.0,20,0,128.94,-96.99,28.94,15.93,grant
1,5955.0,20,0,128.96,-96.99,28.96,15.95,grant
5,5975.0,20,0,128.99,-96.99,28.99,15.98,grant
9,5995.0,20,0,129.02,-96.99,26.52,13.51,grant
13,6015.0,20,0,129.05,-96.99,-2.94,-15.95,deny
17,6035.0,20,0,129.08,-96.99,-2.91,-15.92,deny
21,6055.0,20,0,129.11,-96.99,26.61,13.60,grant
25,6075.0,20,0,129.14,-96.99,29.14,16.13,grant
29,6095.0,20,0,129.17,-96.99,29.17,16.16,grant
33,6115.0,20,0,129.20,-96.99,29.20,16.18,grant
37,6135.0,20,0,129.22,-96.99,29.22,16.21,grant
41,6155.0,20,0,129.25,-96.99,29.25,16.24,grant
45,6175.0,20,0,129.28,-96.99,29.28,16.27,grant
49,6195.0,20,0,129.31,-96.99,29.31,16.30,grant
53,6215.0,20,0,129.34,-96.99,29.34,16.33,grant
57,6235.0,20,0,129.36,-96.99,29.36,16.35,grant
61,6255.0,20,0,129.39,-96.99,29.39,16.38,grant
65,6275.0,20,0,129.42,-96.99,29.42,16.41,grant
69,6295.0,20,0,129.45,-96.99,29.45,16.44,grant
73,6315.0,20,0,129.47,-96.99,28.22,15.21,grant
77,6335.0,20,0,129.50,-96.99,-2.49,-15.50,deny
81,6355.0,20,0,129.53,-96.99,-2.46,-15.47,deny
85,6375.0,20,0,129.56,-96.99,-2.43,-15.44,deny
89,6395.0,20,0,129.58,-96.99,29.58,16.57,grant
93,6415.0,20,0,129.61,-96.99,29.61,16.60,grant
1,5955.0,40,0,128.96,-96.99,28.96,12.94,grant
9,5995.0,40,0,129.02,-96.99,26.52,10.50,grant
17,6035.0,40,0,129.08,-96.99,-2.91,-18.93,deny
25,6075.0,40,0,129.14,-96.99,29.14,13.12,grant
33,6115.0,40,0,129.20,-96.99,29.20,13.17,grant
41,6155.0,40,0,129.25,-96.99,29.25,13.23,grant
49,6195.0,40,0,129.31,-96.99,29.31,13.29,grant
57,6235.0,40,0,129.36,-96.99,29.36,13.34,grant
65,6275.0,40,0,129.42,-96.99,29.42,13.40,grant
73,6315.0,40,0,129.47,-96.99,-2.51,-18.54,deny
81,6355.0,40,0,129.53,-96.99,-2.46,-18.48,deny
89,6395.0,40,0,129.58,-96.99,29.58,13.56,grant
17,6035.0,80,0,129.08,-96.99,-2.91,-21.94,deny
33,6115.0,80,0,129.20,-96.99,29.20,10.16,grant
49,6195.0,80,0,129.31,-96.99,29.31,10.28,grant
65,6275.0,80,0,129.42,-96.99,29.42,10.39,grant
81,6355.0,80,0,129.53,-96.99,-2.46,-21.49,deny
33,6115.0,160,0,129.20,-96.99,29.20,7.15,grant
65,6275.0,160,0,129.42,-96.99,-2.57,-24.61,deny
