channel,center_mhz,bw_mhz,offset_mhz,path_loss_db,noise_dbm,allowed_eirp_dbm,allowed_psd_dBm_per_MHz,decision
-3,5935.0,20,415,134.23,-93.98,37.24,24.23,grant
1,5955.0,20,395,134.26,-93.98,37.27,24.26,grant
5,5975.0,20,375,134.29,-93.98,37.30,24.29,grant
9,5995.0,20,355,134.32,-93.98,37.33,24.32,grant
13,6015.0,20,10,143.68,-96.99,11.69,-1.32,grant
17,6035.0,20,10,143.71,-96.99,11.72,-1.29,grant
21,6055.0,20,295,134.40,-93.98,37.41,24.40,grant
25,6075.0,20,275,134.43,-93.98,37.44,24.43,grant
29,6095.0,20,255,134.46,-93.98,37.47,24.46,grant
33,6115.0,20,235,134.49,-93.98,37.50,24.49,grant
37,6135.0,20,215,134.52,-93.98,37.53,24.52,grant
41,6155.0,20,195,134.54,-93.98,37.55,24.54,grant
45,6175.0,20,175,134.57,-93.98,37.58,24.57,grant
49,6195.0,20,155,134.60,-93.98,37.61,24.60,grant
53,6215.0,20,135,134.63,-93.98,37.64,24.63,grant
57,6235.0,20,115,134.66,-93.98,37.67,24.66,grant
61,6255.0,20,95,134.68,-93.98,37.69,24.68,grant
65,6275.0,20,75,134.71,-93.98,37.72,24.71,grant
69,6295.0,20,55,134.74,-93.98,37.75,24.74,grant
73,6315.0,20,35,134.77,-93.98,36.53,23.52,grant
77,6335.0,20,15,134.79,-93.98,5.82,-7.20,grant
81,6355.0,20,5,134.82,-93.98,5.84,-7.17,grant
85,6375.0,20,25,134.85,-93.98,5.87,-7.14,grant
89,6395.0,20,45,134.88,-93.98,37.89,24.88,grant
93,6415.0,20,65,134.90,-93.98,37.91,24.90,grant
1,5955.0,40,395,134.26,-93.98,37.27,21.25,grant
9,5995.0,40,355,134.32,-93.98,37.33,21.31,grant
17,6035.0,40,10,143.71,-96.99,11.72,-4.30,grant
25,6075.0,40,275,134.43,-93.98,37.44,21.42,grant
33,6115.0,40,235,134.49,-93.98,37.50,21.48,grant
41,6155.0,40,195,134.54,-93.98,37.55,21.53,grant
49,6195.0,40,155,134.60,-93.98,37.61,21.59,grant
57,6235.0,40,115,134.66,-93.98,37.67,21.65,grant
65,6275.0,40,75,134.71,-93.98,37.72,21.70,grant
73,6315.0,40,35,134.77,-93.98,5.79,-10.23,grant
81,6355.0,40,5,134.82,-93.98,5.84,-10.18,grant
89,6395.0,40,45,134.88,-93.98,37.89,21.87,grant
17,6035.0,80,10,143.71,-96.99,11.72,-7.31,grant
33,6115.0,80,235,134.49,-93.98,37.50,18.47,grant
49,6195.0,80,155,134.60,-93.98,37.61,18.58,grant
65,6275.0,80,75,134.71,-93.98,37.72,18.69,grant
81,6355.0,80,5,134.82,-93.98,5.84,-13.19,grant
33,6115.0,160,235,134.49,-93.98,37.50,15.46,grant
65,6275.0,160,75,134.71,-93.98,5.73,-16.31,grant
