channel,center_mhz,bw_mhz,offset_mhz,path_loss_db,noise_dbm,allowed_eirp_dbm,allowed_psd_dBm_per_MHz,decision
-3,5935.0,20,0,134.23,-96.99,34.23,21.22,grant
1,5955.0,20,0,134.26,-96.99,34.26,21.25,grant
5,5975.0,20,0,134.29,-96.99,34.29,21.28,grant
9,5995.0,20,0,134.32,-96.99,34.32,21.31,grant
13,6015.0,20,0,143.68,-96.99,11.69,-1.32,grant
17,6035.0,20,0,143.71,-96.99,11.72,-1.29,grant
21,6055.0,20,0,134.40,-96.99,34.40,21.39,grant
25,6075.0,20,0,134.43,-96.99,34.43,21.42,grant
29,6095.0,20,0,134.46,-96.99,34.46,21.45,grant
33,6115.0,20,0,134.49,-96.99,34.49,21.48,grant
37,6135.0,20,0,134.52,-96.99,34.52,21.51,grant
41,6155.0,20,0,134.54,-96.99,34.54,21.53,grant
45,6175.0,20,0,134.57,-96.99,34.57,21.56,grant
49,6195.0,20,0,134.60,-96.99,34.60,21.59,grant
53,6215.0,20,0,134.63,-96.99,34.63,21.62,grant
57,6235.0,20,0,134.66,-96.99,34.66,21.65,grant
61,6255.0,20,0,134.68,-96.99,34.68,21.67,grant
65,6275.0,20,0,134.71,-96.99,34.71,21.70,grant
69,6295.0,20,0,134.74,-96.99,34.74,21.73,grant
73,6315.0,20,0,134.77,-96.99,33.52,20.51,grant
77,6335.0,20,0,134.79,-96.99,2.80,-10.21,grant
81,6355.0,20,0,134.82,-96.99,2.83,-10.18,grant
85,6375.0,20,0,134.85,-96.99,2.86,-10.15,grant
89,6395.0,20,0,134.88,-96.99,34.88,21.87,grant
93,6415.0,20,0,134.90,-96.99,34.90,21.89,grant
1,5955.0,40,0,134.26,-96.99,34.26,18.24,grant
9,5995.0,40,0,134.32,-96.99,34.32,18.29,grant
17,6035.0,40,0,143.71,-96.99,11.72,-4.30,grant
25,6075.0,40,0,134.43,-96.99,34.43,18.41,grant
33,6115.0,40,0,134.49,-96.99,34.49,18.47,grant
41,6155.0,40,0,134.54,-96.99,34.54,18.52,grant
49,6195.0,40,0,134.60,-96.99,34.60,18.58,grant
57,6235.0,40,0,134.66,-96.99,34.66,18.64,grant
65,6275.0,40,0,134.71,-96.99,34.71,18.69,grant
73,6315.0,40,0,134.77,-96.99,2.78,-13.24,grant
81,6355.0,40,0,134.82,-96.99,2.83,-13.19,grant
89,6395.0,40,0,134.88,-96.99,34.88,18.86,grant
17,6035.0,80,0,143.71,-96.99,11.72,-7.31,grant
33,6115.0,80,0,134.49,-96.99,34.49,15.46,grant
49,6195.0,80,0,134.60,-96.99,34.60,15.57,grant
65,6275.0,80,0,134.71,-96.99,34.71,15.68,grant
81,6355.0,80,0,134.82,-96.99,2.83,-16.20,grant
33,6115.0,160,0,134.49,-96.99,34.49,12.45,grant
65,6275.0,160,0,134.71,-96.99,2.72,-19.32,grant
