channel,center_mhz,bw_mhz,offset_mhz,path_loss_db,noise_dbm,allowed_eirp_dbm,allowed_psd_dBm_per_MHz,decision
-3,5935.0,20,0,115.23,-96.99,15.23,2.21,grant
1,5955.0,20,0,115.25,-96.99,15.25,2.24,grant
5,5975.0,20,0,115.28,-96.99,15.28,2.27,grant
9,5995.0,20,0,115.31,-96.99,12.81,-0.20,grant
13,6015.0,20,0,115.34,-96.99,-16.65,-29.66,deny
17,6035.0,20,0,115.37,-96.99,-16.62,-29.63,deny
21,6055.0,20,0,115.40,-96.99,12.90,-0.11,grant
25,6075.0,20,0,115.43,-96.99,15.43,2.42,grant
29,6095.0,20,0,115.46,-96.99,15.46,2.45,grant
33,6115.0,20,0,115.48,-96.99,15.48,2.47,grant
37,6135.0,20,0,115.51,-96.99,15.51,2.50,grant
41,6155.0,20,0,115.54,-96.99,15.54,2.53,grant
45,6175.0,20,0,115.57,-96.99,15.57,2.56,grant
49,6195.0,20,0,115.60,-96.99,15.60,2.59,grant
53,6215.0,20,0,115.63,-96.99,15.63,2.62,grant
57,6235.0,20,0,115.65,-96.99,15.65,2.64,grant
61,6255.0,20,0,115.68,-96.99,15.68,2.67,grant
65,6275.0,20,0,115.71,-96.99,15.71,2.70,grant
69,6295.0,20,0,115.74,-96.99,15.74,2.73,grant
73,6315.0,20,0,115.76,-96.99,15.76,2.75,grant
77,6335.0,20,0,146.64,-96.99,14.65,1.64,grant
81,6355.0,20,0,146.67,-96.99,14.68,1.67,grant
85,6375.0,20,0,146.70,-96.99,14.71,1.70,grant
89,6395.0,20,0,115.87,-96.99,15.87,2.86,grant
93,6415.0,20,0,115.90,-96.99,15.90,2.89,grant
1,5955.0,40,0,115.25,-96.99,15.25,-0.77,grant
9,5995.0,40,0,115.31,-96.99,12.81,-3.21,grant
17,6035.0,40,0,115.37,-96.99,-16.62,-32.64,deny
25,6075.0,40,0,115.43,-96.99,15.43,-0.59,grant
33,6115.0,40,0,115.48,-96.99,15.48,-0.54,grant
41,6155.0,40,0,115.54,-96.99,15.54,-0.48,grant
49,6195.0,40,0,115.60,-96.99,15.60,-0.42,grant
57,6235.0,40,0,115.65,-96.99,15.65,-0.37,grant
65,6275.0,40,0,115.71,-96.99,15.71,-0.31,grant
73,6315.0,40,0,146.61,-96.99,14.62,-1.40,grant
81,6355.0,40,0,146.67,-96.99,14.68,-1.34,grant
89,6395.0,40,0,115.87,-96.99,15.87,-0.15,grant
17,6035.0,80,0,115.37,-96.99,-16.62,-35.65,deny
33,6115.0,80,0,115.48,-96.99,15.48,-3.55,grant
49,6195.0,80,0,115.60,-96.99,15.60,-3.43,grant
65,6275.0,80,0,115.71,-96.99,15.71,-3.32,grant
81,6355.0,80,0,146.67,-96.99,14.68,-4.35,grant
33,6115.0,160,0,115.48,-96.99,15.48,-6.56,grant
65,6275.0,160,0,146.56,-96.99,14.57,-7.47,grant
