channel,center_mhz,bw_mhz,offset_mhz,path_loss_db,noise_dbm,allowed_eirp_dbm,allowed_psd_dBm_per_MHz,decision
-3,5935.0,20,0,113.56,-96.99,13.56,0.55,grant
1,5955.0,20,0,113.59,-96.99,13.59,0.58,grant
5,5975.0,20,0,113.62,-96.99,13.62,0.61,grant
9,5995.0,20,0,113.65,-96.99,11.15,-1.86,grant
13,6015.0,20,0,113.68,-96.99,-18.31,-31.32,deny
17,6035.0,20,0,113.71,-96.99,-18.28,-31.29,deny
21,6055.0,20,0,113.74,-96.99,11.24,-1.77,grant
25,6075.0,20,0,113.76,-96.99,13.76,0.75,grant
29,6095.0,20,0,113.79,-96.99,13.79,0.78,grant
33,6115.0,20,0,113.82,-96.99,13.82,0.81,grant
37,6135.0,20,0,113.85,-96.99,13.85,0.84,grant
41,6155.0,20,0,113.88,-96.99,13.88,0.87,grant
45,6175.0,20,0,113.91,-96.99,13.91,0.90,grant
49,6195.0,20,0,113.93,-96.99,13.93,0.92,grant
53,6215.0,20,0,113.96,-96.99,13.96,0.95,grant
57,6235.0,20,0,113.99,-96.99,13.99,0.98,grant
61,6255.0,20,0,114.02,-96.99,14.02,1.01,grant
65,6275.0,20,0,114.05,-96.99,14.05,1.04,grant
69,6295.0,20,0,114.07,-96.99,14.07,1.06,grant
73,6315.0,20,0,114.10,-96.99,14.10,1.09,grant
77,6335.0,20,0,114.13,-96.99,14.13,1.12,grant
81,6355.0,20,0,114.16,-96.99,14.16,1.15,grant
85,6375.0,20,0,114.18,-96.99,14.18,1.17,grant
89,6395.0,20,0,114.21,-96.99,14.21,1.20,grant
93,6415.0,20,0,114.24,-96.99,14.24,1.23,grant
1,5955.0,40,0,113.59,-96.99,13.59,-2.43,grant
9,5995.0,40,0,113.65,-96.99,11.15,-4.87,grant
17,6035.0,40,0,113.71,-96.99,-18.28,-34.30,deny
25,6075.0,40,0,113.76,-96.99,13.76,-2.26,grant
33,6115.0,40,0,113.82,-96.99,13.82,-2.20,grant
41,6155.0,40,0,113.88,-96.99,13.88,-2.14,grant
49,6195.0,40,0,113.93,-96.99,13.93,-2.09,grant
57,6235.0,40,0,113.99,-96.99,13.99,-2.03,grant
65,6275.0,40,0,114.05,-96.99,14.05,-1.97,grant
73,6315.0,40,0,114.10,-96.99,14.10,-1.92,grant
81,6355.0,40,0,114.16,-96.99,14.16,-1.86,grant
89,6395.0,40,0,114.21,-96.99,14.21,-1.81,grant
17,6035.0,80,0,113.71,-96.99,-18.28,-37.31,deny
33,6115.0,80,0,113.82,-96.99,13.82,-5.21,grant
49,6195.0,80,0,113.93,-96.99,13.93,-5.10,grant
65,6275.0,80,0,114.05,-96.99,14.05,-4.98,grant
81,6355.0,80,0,114.16,-96.99,14.16,-4.87,grant
33,6115.0,160,0,113.82,-96.99,13.82,-8.22,grant
65,6275.0,160,0,114.05,-96.99,14.05,-7.99,grant
