channel,center_mhz,bw_mhz,offset_mhz,path_loss_db,noise_dbm,allowed_eirp_dbm,allowed_psd_dBm_per_MHz,decision
-3,5935.0,20,240,120.94,-96.99,20.94,7.93,grant
1,5955.0,20,220,120.96,-96.99,20.96,7.95,grant
5,5975.0,20,200,120.99,-96.99,20.99,7.98,grant
9,5995.0,20,180,121.02,-96.99,21.02,8.01,grant
13,6015.0,20,160,121.05,-96.99,21.05,8.04,grant
17,6035.0,20,140,121.08,-96.99,21.08,8.07,grant
21,6055.0,20,120,121.11,-96.99,21.11,8.10,grant
25,6075.0,20,100,121.14,-96.99,21.14,8.13,grant
29,6095.0,20,80,121.17,-96.99,21.17,8.16,grant
33,6115.0,20,60,121.20,-96.99,21.20,8.18,grant
37,6135.0,20,40,121.22,-96.99,21.22,8.21,grant
41,6155.0,20,20,121.25,-96.99,16.25,3.24,grant
45,6175.0,20,0,121.28,-96.99,-10.71,-23.72,deny
49,6195.0,20,20,121.31,-96.99,16.31,3.30,grant
53,6215.0,20,40,121.34,-96.99,21.34,8.33,grant
57,6235.0,20,60,121.36,-96.99,21.36,8.35,grant
61,6255.0,20,80,121.39,-96.99,21.39,8.38,grant
65,6275.0,20,100,121.42,-96.99,21.42,8.41,grant
69,6295.0,20,120,121.45,-96.99,21.45,8.44,grant
73,6315.0,20,140,121.47,-96.99,21.47,8.46,grant
77,6335.0,20,160,121.50,-96.99,21.50,8.49,grant
81,6355.0,20,180,121.53,-96.99,21.53,8.52,grant
85,6375.0,20,200,121.56,-96.99,21.56,8.55,grant
89,6395.0,20,220,121.58,-96.99,21.58,8.57,grant
93,6415.0,20,240,121.61,-96.99,21.61,8.60,grant
1,5955.0,40,220,120.96,-96.99,20.96,4.94,grant
9,5995.0,40,180,121.02,-96.99,21.02,5.00,grant
17,6035.0,40,140,121.08,-96.99,21.08,5.06,grant
25,6075.0,40,100,121.14,-96.99,21.14,5.12,grant
33,6115.0,40,60,121.20,-96.99,21.20,5.17,grant
41,6155.0,40,20,121.25,-96.99,16.25,0.23,grant
49,6195.0,40,20,121.31,-96.99,16.31,0.29,grant
57,6235.0,40,60,121.36,-96.99,21.36,5.34,grant
65,6275.0,40,100,121.42,-96.99,21.42,5.40,grant
73,6315.0,40,140,121.47,-96.99,21.47,5.45,grant
81,6355.0,40,180,121.53,-96.99,21.53,5.51,grant
89,6395.0,40,220,121.58,-96.99,21.58,5.56,grant
17,6035.0,80,140,121.08,-96.99,21.08,2.05,grant
33,6115.0,80,60,121.20,-96.99,21.20,2.16,grant
49,6195.0,80,20,121.31,-96.99,16.31,-2.72,grant
65,6275.0,80,100,121.42,-96.99,21.42,2.39,grant
81,6355.0,80,180,121.53,-96.99,21.53,2.50,grant
33,6115.0,160,60,121.20,-96.99,21.20,-0.85,grant
65,6275.0,160,100,121.42,-96.99,21.42,-0.62,grant
