channel,center_mhz,bw_mhz,offset_mhz,path_loss_db,noise_dbm,allowed_eirp_dbm,allowed_psd_dBm_per_MHz,decision
-3,5935.0,20,240,128.94,-96.99,23.94,10.93,grant
1,5955.0,20,220,128.96,-96.99,23.96,10.95,grant
5,5975.0,20,200,128.99,-96.99,23.99,10.98,grant
9,5995.0,20,180,129.02,-96.99,24.02,11.01,grant
13,6015.0,20,160,129.05,-96.99,24.05,11.04,grant
17,6035.0,20,140,129.08,-96.99,24.08,11.07,grant
21,6055.0,20,120,129.11,-96.99,24.11,11.10,grant
25,6075.0,20,100,129.14,-96.99,24.14,11.13,grant
29,6095.0,20,80,129.17,-96.99,24.17,11.16,grant
33,6115.0,20,60,129.20,-96.99,24.20,11.18,grant
37,6135.0,20,40,129.22,-96.99,24.22,11.21,grant
41,6155.0,20,20,129.25,-96.99,24.25,11.24,grant
45,6175.0,20,0,129.28,-96.99,-2.71,-15.72,deny
49,6195.0,20,20,129.31,-96.99,24.31,11.30,grant
53,6215.0,20,40,129.34,-96.99,24.34,11.33,grant
57,6235.0,20,60,129.36,-96.99,24.36,11.35,grant
61,6255.0,20,80,129.39,-96.99,24.39,11.38,grant
65,6275.0,20,100,129.42,-96.99,24.42,11.41,grant
69,6295.0,20,120,129.45,-96.99,24.45,11.44,grant
73,6315.0,20,140,129.47,-96.99,24.47,11.46,grant
77,6335.0,20,160,129.50,-96.99,24.50,11.49,grant
81,6355.0,20,180,129.53,-96.99,24.53,11.52,grant
85,6375.0,20,200,129.56,-96.99,24.56,11.55,grant
89,6395.0,20,220,129.58,-96.99,24.58,11.57,grant
93,6415.0,20,240,129.61,-96.99,24.61,11.60,grant
1,5955.0,40,220,128.96,-96.99,23.96,7.94,grant
9,5995.0,40,180,129.02,-96.99,24.02,8.00,grant
17,6035.0,40,140,129.08,-96.99,24.08,8.06,grant
25,6075.0,40,100,129.14,-96.99,24.14,8.12,grant
33,6115.0,40,60,129.20,-96.99,24.20,8.17,grant
41,6155.0,40,20,129.25,-96.99,24.25,8.23,grant
49,6195.0,40,20,129.31,-96.99,24.31,8.29,grant
57,6235.0,40,60,129.36,-96.99,24.36,8.34,grant
65,6275.0,40,100,129.42,-96.99,24.42,8.40,grant
73,6315.0,40,140,129.47,-96.99,24.47,8.45,grant
81,6355.0,40,180,129.53,-96.99,24.53,8.51,grant
89,6395.0,40,220,129.58,-96.99,24.58,8.56,grant
17,6035.0,80,140,129.08,-96.99,24.08,5.05,grant
33,6115.0,80,60,129.20,-96.99,24.20,5.16,grant
49,6195.0,80,20,129.31,-96.99,24.31,5.28,grant
65,6275.0,80,100,129.42,-96.99,24.42,5.39,grant
81,6355.0,80,180,129.53,-96.99,24.53,5.50,grant
33,6115.0,160,60,129.20,-96.99,24.20,2.15,grant
65,6275.0,160,100,129.42,-96.99,24.42,2.38,grant
117,6535.0,20,360,129.77,-96.99,24.77,11.76,grant
121,6555.0,20,380,129.80,-96.99,24.80,11.79,grant
125,6575.0,20,400,129.83,-96.99,24.83,11.81,grant
129,6595.0,20,420,129.85,-96.99,24.85,11.84,grant
133,6615.0,20,440,129.88,-96.99,24.88,11.87,grant
137,6635.0,20,460,129.90,-96.99,24.90,11.89,grant
141,6655.0,20,480,129.93,-96.99,24.93,11.92,grant
145,6675.0,20,500,129.96,-96.99,24.96,11.95,grant
149,6695.0,20,520,129.98,-96.99,24.98,11.97,grant
153,6715.0,20,540,130.01,-96.99,25.01,12.00,grant
157,6735.0,20,560,130.03,-96.99,25.03,12.02,grant
161,6755.0,20,580,130.06,-96.99,25.06,12.05,grant
165,6775.0,20,600,130.09,-96.99,25.09,12.08,grant
169,6795.0,20,620,130.11,-96.99,25.11,12.10,grant
173,6815.0,20,640,130.14,-96.99,25.14,12.13,grant
177,6835.0,20,660,130.16,-96.99,25.16,12.15,grant
181,6855.0,20,680,130.19,-96.99,25.19,12.18,grant
121,6555.0,40,380,129.80,-96.99,24.80,8.78,grant
129,6595.0,40,420,129.85,-96.99,24.85,8.83,grant
137,6635.0,40,460,129.90,-96.99,24.90,8.88,grant
145,6675.0,40,500,129.96,-96.99,24.96,8.94,grant
153,6715.0,40,540,130.01,-96.99,25.01,8.99,grant
161,6755.0,40,580,130.06,-96.99,25.06,9.04,grant
169,6795.0,40,620,130.11,-96.99,25.11,9.09,grant
177,6835.0,40,660,130.16,-96.99,25.16,9.14,grant
129,6595.0,80,420,129.85,-96.99,24.85,5.82,grant
145,6675.0,80,500,129.96,-96.99,24.96,5.93,grant
161,6755.0,80,580,130.06,-96.99,25.06,6.03,grant
177,6835.0,80,660,130.16,-96.99,25.16,6.13,grant
161,6755.0,160,580,130.06,-96.99,25.06,3.02,grant
