channel,center_mhz,bw_mhz,offset_mhz,path_loss_db,noise_dbm,allowed_eirp_dbm,allowed_psd_dBm_per_MHz,decision
-3,5935.0,20,240,128.94,-93.98,-2.04,-15.05,deny
1,5955.0,20,220,128.96,-93.98,-2.01,-15.02,deny
5,5975.0,20,200,128.99,-93.98,-1.99,-15.00,deny
9,5995.0,20,180,129.02,-93.98,-1.96,-14.97,deny
13,6015.0,20,160,129.05,-93.98,-1.93,-14.94,deny
17,6035.0,20,140,129.08,-93.98,-1.90,-14.91,deny
21,6055.0,20,120,129.11,-93.98,-1.87,-14.88,deny
25,6075.0,20,100,129.14,-93.98,-1.84,-14.85,deny
29,6095.0,20,80,129.17,-93.98,-1.81,-14.82,deny
33,6115.0,20,60,129.20,-93.98,-1.78,-14.79,deny
37,6135.0,20,40,129.22,-93.98,-1.76,-14.77,deny
41,6155.0,20,20,129.25,-93.98,-1.73,-14.74,deny
45,6175.0,20,0,129.28,-93.98,-1.70,-14.71,deny
49,6195.0,20,20,129.31,-93.98,-1.67,-14.68,deny
53,6215.0,20,40,129.34,-93.98,-1.64,-14.65,deny
57,6235.0,20,60,129.36,-93.98,-1.62,-14.63,deny
61,6255.0,20,80,129.39,-93.98,-1.59,-14.60,deny
65,6275.0,20,100,129.42,-93.98,-1.56,-14.57,deny
69,6295.0,20,120,129.45,-93.98,-1.53,-14.54,deny
73,6315.0,20,140,129.47,-93.98,-1.50,-14.51,deny
77,6335.0,20,160,129.50,-93.98,-1.48,-14.49,deny
81,6355.0,20,180,129.53,-93.98,-1.45,-14.46,deny
85,6375.0,20,200,129.56,-93.98,-1.42,-14.43,deny
89,6395.0,20,220,129.58,-93.98,-1.40,-14.41,deny
93,6415.0,20,240,129.61,-93.98,-1.37,-14.38,deny
1,5955.0,40,220,128.96,-93.98,-2.01,-18.04,deny
9,5995.0,40,180,129.02,-93.98,-1.96,-17.98,deny
17,6035.0,40,140,129.08,-93.98,-1.90,-17.92,deny
25,6075.0,40,100,129.14,-93.98,-1.84,-17.86,deny
33,6115.0,40,60,129.20,-93.98,-1.78,-17.80,deny
41,6155.0,40,20,129.25,-93.98,-1.73,-17.75,deny
49,6195.0,40,20,129.31,-93.98,-1.67,-17.69,deny
57,6235.0,40,60,129.36,-93.98,-1.62,-17.64,deny
65,6275.0,40,100,129.42,-93.98,-1.56,-17.58,deny
73,6315.0,40,140,129.47,-93.98,-1.50,-17.53,deny
81,6355.0,40,180,129.53,-93.98,-1.45,-17.47,deny
89,6395.0,40,220,129.58,-93.98,-1.40,-17.42,deny
17,6035.0,80,140,129.08,-93.98,-1.90,-20.93,deny
33,6115.0,80,60,129.20,-93.98,-1.78,-20.82,deny
49,6195.0,80,20,129.31,-93.98,-1.67,-20.70,deny
65,6275.0,80,100,129.42,-93.98,-1.56,-20.59,deny
81,6355.0,80,180,129.53,-93.98,-1.45,-20.48,deny
33,6115.0,160,60,129.20,-93.98,-1.78,-23.83,deny
65,6275.0,160,100,129.42,-93.98,-1.56,-23.60,deny
117,6535.0,20,360,129.77,-93.98,-1.21,-14.22,deny
121,6555.0,20,380,129.80,-93.98,-1.18,-14.19,deny
125,6575.0,20,400,129.83,-93.98,-1.15,-14.16,deny
129,6595.0,20,420,129.85,-93.98,-1.13,-14.14,deny
133,6615.0,20,440,129.88,-93.98,-1.10,-14.11,deny
137,6635.0,20,460,129.90,-93.98,-1.08,-14.09,deny
141,6655.0,20,480,129.93,-93.98,-1.05,-14.06,deny
145,6675.0,20,500,129.96,-93.98,-1.02,-14.03,deny
149,6695.0,20,520,129.98,-93.98,-1.00,-14.01,deny
153,6715.0,20,540,130.01,-93.98,-0.97,-13.98,deny
157,6735.0,20,560,130.03,-93.98,-0.95,-13.96,deny
161,6755.0,20,580,130.06,-93.98,-0.92,-13.93,deny
165,6775.0,20,600,130.09,-93.98,-0.89,-13.90,deny
169,6795.0,20,620,130.11,-93.98,-0.87,-13.88,deny
173,6815.0,20,640,130.14,-93.98,-0.84,-13.85,deny
177,6835.0,20,660,130.16,-93.98,-0.82,-13.83,deny
181,6855.0,20,680,130.19,-93.98,-0.79,-13.80,deny
121,6555.0,40,380,129.80,-93.98,-1.18,-17.20,deny
129,6595.0,40,420,129.85,-93.98,-1.13,-17.15,deny
137,6635.0,40,460,129.90,-93.98,-1.08,-17.10,deny
145,6675.0,40,500,129.96,-93.98,-1.02,-17.04,deny
153,6715.0,40,540,130.01,-93.98,-0.97,-16.99,deny
161,6755.0,40,580,130.06,-93.98,-0.92,-16.94,deny
169,6795.0,40,620,130.11,-93.98,-0.87,-16.89,deny
177,6835.0,40,660,130.16,-93.98,-0.82,-16.84,deny
129,6595.0,80,420,129.85,-93.98,-1.13,-20.16,deny
145,6675.0,80,500,129.96,-93.98,-1.02,-20.05,deny
161,6755.0,80,580,130.06,-93.98,-0.92,-19.95,deny
177,6835.0,80,660,130.16,-93.98,-0.82,-19.85,deny
161,6755.0,160,580,130.06,-93.98,-0.92,-22.96,deny
